ID,Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,Month Name,Year,Price
160,Corporate,United Kingdom,Headphones,Low,96,153,1027,98592,4929.6,93662.4,14688,78974.4,6/9/2023,6,June,2023,1027
161,Corporate,United Kingdom,Tablet,Low,4,63,577,2308,115.4,2192.6,252,1940.6,6/10/2023,6,June,2023,577
162,Consumer,France,Headphones,Medium,94,81,1098,103212,10321.2,92890.8,7614,85276.8,6/11/2023,6,June,2023,1098
163,Consumer,Italy,Tablet,High,23,228,1115,25645,5129,20516,5244,15272,6/12/2023,6,June,2023,1115
164,Corporate,Germany,Smartphone,Low,15,174,757,11355,567.75,10787.25,2610,8177.25,6/13/2023,6,June,2023,757
165,Corporate,Italy,Headphones,High,43,215,726,31218,6243.6,24974.4,9245,15729.4,6/14/2023,6,June,2023,726
166,Consumer,United States,Smartphone,Low,29,146,352,10208,510.4,9697.6,4234,5463.6,6/15/2023,6,June,2023,352
167,Home Office,Italy,Laptop,Medium,36,72,933,33588,3358.8,30229.2,2592,27637.2,6/16/2023,6,June,2023,933
168,Corporate,France,Tablet,Medium,13,112,405,5265,526.5,4738.5,1456,3282.5,6/17/2023,6,June,2023,405
169,Corporate,Germany,Headphones,Medium,32,192,654,20928,2092.8,18835.2,6144,12691.2,6/18/2023,6,June,2023,654
170,Home Office,United States,Headphones,Medium,71,274,472,33512,3351.2,30160.8,19454,10706.8,6/19/2023,6,June,2023,472
171,Consumer,United States,Tablet,Low,59,202,1093,64487,3224.35,61262.65,11918,49344.65,6/20/2023,6,June,2023,1093
172,Corporate,Germany,Smartphone,High,86,194,435,37410,7482,29928,16684,13244,6/21/2023,6,June,2023,435
173,Corporate,Italy,Laptop,Medium,28,274,1051,29428,2942.8,26485.2,7672,18813.2,6/22/2023,6,June,2023,1051
174,Home Office,Germany,Laptop,High,66,288,939,61974,12394.8,49579.2,19008,30571.2,6/23/2023,6,June,2023,939
175,Consumer,United Kingdom,Monitor,High,42,296,720,30240,6048,24192,12432,11760,6/24/2023,6,June,2023,720
176,Consumer,United Kingdom,Tablet,Low,45,243,877,39465,1973.25,37491.75,10935,26556.75,6/25/2023,6,June,2023,877
177,Consumer,Germany,Smartphone,High,62,255,1143,70866,14173.2,56692.8,15810,40882.8,6/26/2023,6,June,2023,1143
178,Consumer,United States,Laptop,Low,57,102,1155,65835,3291.75,62543.25,5814,56729.25,6/27/2023,6,June,2023,1155
179,Consumer,Italy,Tablet,High,6,153,1030,6180,1236,4944,918,4026,6/28/2023,6,June,2023,1030
180,Consumer,United Kingdom,Laptop,Medium,28,153,925,25900,2590,23310,4284,19026,6/29/2023,6,June,2023,925
181,Corporate,Germany,Tablet,High,28,228,700,19600,3920,15680,6384,9296,6/30/2023,6,June,2023,700
182,Corporate,France,Laptop,Medium,44,88,316,13904,1390.4,12513.6,3872,8641.6,7/1/2023,7,July,2023,316
183,Consumer,United States,Tablet,High,84,228,585,49140,9828,39312,19152,20160,7/2/2023,7,July,2023,585
184,Corporate,Germany,Smartphone,Low,30,247,543,16290,814.5,15475.5,7410,8065.5,7/3/2023,7,July,2023,543
185,Corporate,United Kingdom,Laptop,Low,62,183,783,48546,2427.3,46118.7,11346,34772.7,7/4/2023,7,July,2023,783
186,Home Office,United Kingdom,Laptop,Medium,75,116,594,44550,4455,40095,8700,31395,7/5/2023,7,July,2023,594
187,Consumer,United States,Tablet,Medium,92,184,263,24196,2419.6,21776.4,16928,4848.4,7/6/2023,7,July,2023,263
188,Corporate,France,Tablet,Low,89,228,916,81524,4076.2,77447.8,20292,57155.8,7/7/2023,7,July,2023,916
189,Home Office,Germany,Laptop,Low,62,249,920,57040,2852,54188,15438,38750,7/8/2023,7,July,2023,920
190,Consumer,United Kingdom,Headphones,Medium,97,91,271,26287,2628.7,23658.3,8827,14831.3,7/9/2023,7,July,2023,271
191,Home Office,Italy,Smartphone,Medium,1,241,988,988,98.8,889.2,241,648.2,7/10/2023,7,July,2023,988
192,Home Office,Italy,Monitor,High,27,293,473,12771,2554.2,10216.8,7911,2305.8,7/11/2023,7,July,2023,473
193,Home Office,Italy,Smartphone,Medium,62,64,1189,73718,7371.8,66346.2,3968,62378.2,7/12/2023,7,July,2023,1189
194,Corporate,United Kingdom,Smartphone,High,77,160,519,39963,7992.6,31970.4,12320,19650.4,7/13/2023,7,July,2023,519
195,Home Office,Italy,Smartphone,High,3,206,537,1611,322.2,1288.8,618,670.8,7/14/2023,7,July,2023,537
196,Consumer,United States,Headphones,Medium,70,82,565,39550,3955,35595,5740,29855,7/15/2023,7,July,2023,565
197,Consumer,Italy,Monitor,Medium,72,293,694,49968,4996.8,44971.2,21096,23875.2,7/16/2023,7,July,2023,694
198,Home Office,United Kingdom,Laptop,High,27,271,806,21762,4352.4,17409.6,7317,10092.6,7/17/2023,7,July,2023,806
199,Consumer,Germany,Laptop,Medium,9,280,365,3285,328.5,2956.5,2520,436.5,7/18/2023,7,July,2023,365
200,Home Office,Germany,Monitor,Medium,62,204,743,46066,4606.6,41459.4,12648,28811.4,7/19/2023,7,July,2023,743
201,Home Office,France,Headphones,Medium,37,213,210,7770,777,6993,7881,-888,7/20/2023,7,July,2023,210
202,Home Office,United Kingdom,Tablet,Medium,97,206,500,48500,4850,43650,19982,23668,7/21/2023,7,July,2023,500
203,Corporate,France,Monitor,High,51,87,928,47328,9465.6,37862.4,4437,33425.4,7/22/2023,7,July,2023,928
204,Home Office,Germany,Smartphone,Low,44,234,1000,44000,2200,41800,10296,31504,7/23/2023,7,July,2023,1000
205,Corporate,Germany,Smartphone,High,24,146,301,7224,1444.8,5779.2,3504,2275.2,7/24/2023,7,July,2023,301
206,Home Office,Italy,Headphones,Low,79,278,624,49296,2464.8,46831.2,21962,24869.2,7/25/2023,7,July,2023,624
207,Home Office,United Kingdom,Headphones,Medium,59,204,591,34869,3486.9,31382.1,12036,19346.1,7/26/2023,7,July,2023,591
208,Corporate,France,Headphones,Low,32,232,978,31296,1564.8,29731.2,7424,22307.2,7/27/2023,7,July,2023,978
209,Home Office,United Kingdom,Smartphone,Medium,96,82,413,39648,3964.8,35683.2,7872,27811.2,7/28/2023,7,July,2023,413
210,Consumer,France,Smartphone,Medium,88,245,890,78320,7832,70488,21560,48928,7/29/2023,7,July,2023,890
211,Consumer,Italy,Smartphone,Low,52,135,287,14924,746.2,14177.8,7020,7157.8,7/30/2023,7,July,2023,287
212,Corporate,United Kingdom,Tablet,Low,62,115,752,46624,2331.2,44292.8,7130,37162.8,7/31/2023,7,July,2023,752
213,Corporate,United States,Laptop,High,58,59,600,34800,6960,27840,3422,24418,8/1/2023,8,August,2023,600
214,Home Office,United Kingdom,Tablet,Medium,52,54,787,40924,4092.4,36831.6,2808,34023.6,8/2/2023,8,August,2023,787
215,Home Office,United States,Headphones,High,12,172,1088,13056,2611.2,10444.8,2064,8380.8,8/3/2023,8,August,2023,1088
216,Corporate,Italy,Laptop,High,39,123,245,9555,1911,7644,4797,2847,8/4/2023,8,August,2023,245
217,Home Office,United Kingdom,Laptop,High,2,146,871,1742,348.4,1393.6,292,1101.6,8/5/2023,8,August,2023,871
218,Consumer,Germany,Laptop,High,3,167,662,1986,397.2,1588.8,501,1087.8,8/6/2023,8,August,2023,662
219,Consumer,Italy,Laptop,High,56,87,791,44296,8859.2,35436.8,4872,30564.8,8/7/2023,8,August,2023,791
220,Corporate,France,Headphones,Medium,81,190,509,41229,4122.9,37106.1,15390,21716.1,8/8/2023,8,August,2023,509
221,Consumer,United States,Smartphone,High,59,208,285,16815,3363,13452,12272,1180,8/9/2023,8,August,2023,285
222,Home Office,France,Smartphone,Low,2,96,291,582,29.1,552.9,192,360.9,8/10/2023,8,August,2023,291
223,Corporate,France,Monitor,Medium,2,277,859,1718,171.8,1546.2,554,992.2,8/11/2023,8,August,2023,859
224,Consumer,France,Headphones,Low,92,158,872,80224,4011.2,76212.8,14536,61676.8,8/12/2023,8,August,2023,872
225,Consumer,United States,Tablet,Medium,54,265,913,49302,4930.2,44371.8,14310,30061.8,8/13/2023,8,August,2023,913
226,Home Office,United Kingdom,Headphones,Low,87,229,1135,98745,4937.25,93807.75,19923,73884.75,8/14/2023,8,August,2023,1135
